SIZE, N
0 ,2
1000 ,1
2000 ,1
3000 ,1
4000 ,1
5000 ,1
6000 ,1
7000 ,1
8000 ,1
9000 ,1
10000 ,1
11000 ,1
12000 ,1
13000 ,2
14000 ,1
15000 ,1
16000 ,1
17000 ,1
18000 ,1
19000 ,1
20000 ,1
21000 ,1
22000 ,1
23000 ,1
24000 ,1
25000 ,1
26000 ,1
27000 ,1
28000 ,1
29000 ,1
30000 ,1
31000 ,3
32000 ,1
33000 ,1
34000 ,1
35000 ,1
36000 ,1
37000 ,1
38000 ,1
39000 ,1
40000 ,1
41000 ,1
42000 ,1
43000 ,1
44000 ,1
45000 ,1
46000 ,1
47000 ,1
48000 ,3
49000 ,2
50000 ,3
51000 ,3
52000 ,3
53000 ,3
54000 ,2
55000 ,2
56000 ,3
57000 ,7
58000 ,5
59000 ,2
60000 ,2
61000 ,8
62000 ,5
63000 ,1
64000 ,1
65000 ,4
66000 ,1
67000 ,3
68000 ,1
69000 ,1
70000 ,4
71000 ,4
72000 ,2
73000 ,2
74000 ,2
75000 ,3
76000 ,3
77000 ,1
78000 ,2
79000 ,8
80000 ,3
81000 ,1
82000 ,3
83000 ,5
84000 ,3
85000 ,3
86000 ,4
87000 ,3
88000 ,3
89000 ,2
90000 ,3
91000 ,4
92000 ,3
93000 ,3
94000 ,1
95000 ,6
96000 ,3
97000 ,2
98000 ,3
99000 ,3
100000 ,4
101000 ,3
102000 ,4
103000 ,4
104000 ,2
105000 ,3
106000 ,3
107000 ,4
108000 ,4
109000 ,3
110000 ,3
111000 ,3
112000 ,4
113000 ,3
114000 ,4
115000 ,3
116000 ,4
117000 ,4
118000 ,8
119000 ,3
120000 ,3
121000 ,9
122000 ,3
123000 ,3
124000 ,3
125000 ,2
126000 ,2
127000 ,4
128000 ,2
129000 ,3
130000 ,3
131000 ,3
132000 ,3
133000 ,2
134000 ,2
135000 ,3
136000 ,2
137000 ,3
138000 ,6
139000 ,3
140000 ,6
141000 ,3
142000 ,2
143000 ,9
144000 ,9
145000 ,3
146000 ,5
147000 ,3
148000 ,3
149000 ,3
150000 ,2
151000 ,4
152000 ,3
153000 ,3
154000 ,3
155000 ,5
156000 ,4
157000 ,4
158000 ,4
159000 ,3
160000 ,2
161000 ,3
162000 ,4
163000 ,3
164000 ,6
165000 ,3
166000 ,6
167000 ,2
