N, time mcs
1, 18
2, 229
3, 103
4, 120
5, 179
6, 212
7, 244
8, 266
9, 277
10, 323
11, 405
12, 424
13, 391
14, 517
15, 545
16, 530
17, 518
18, 549
19, 599
20, 772
21, 1218
22, 998
23, 912
24, 1009
25, 1059
26, 977
27, 1157
28, 1059
29, 1129
30, 1182
31, 1273
32, 1195
33, 1261
34, 1463
35, 1379
36, 1374
37, 1433
38, 1516
39, 1535
40, 1561
41, 1716
42, 1837
43, 1854
44, 1742
45, 1822
46, 1975
47, 1875
48, 1835
49, 1978
50, 1974
51, 2154
52, 2099
53, 2173
54, 2097
55, 2369
56, 2362
57, 2447
58, 2294
59, 2527
60, 2486
61, 3299
62, 2743
63, 4502
64, 2461
65, 2885
66, 2768
67, 2690
68, 3278
69, 3422
70, 2640
71, 3321
72, 3377
73, 5823
74, 3650
75, 3446
76, 3488
77, 3064
78, 3556
79, 2924
80, 2749
81, 2621
82, 2589
83, 2576
84, 2781
85, 3085
86, 2725
87, 2717
88, 2970
89, 2742
90, 2980
91, 3366
92, 3318
93, 3546
94, 3123
95, 3229
96, 3666
97, 3235
98, 3410
99, 3381
100, 3943
101, 3611
102, 3604
103, 3383
104, 4089
105, 4528
106, 4333
107, 3790
108, 3851
109, 4012
110, 3345
111, 4172
112, 3885
113, 4028
114, 4136
115, 3662
116, 3604
117, 3650
118, 3982
119, 4253
120, 4340
121, 3930
122, 3932
123, 4297
124, 4391
125, 4495
126, 4406
127, 4555
128, 4500
129, 4612
130, 4704
131, 4286
132, 4566
133, 4436
134, 4621
135, 4882
136, 4675
137, 4850
138, 5143
139, 5188
140, 5011
141, 5907
142, 5100
143, 4869
144, 4981
145, 5296
146, 4648
147, 4620
148, 5639
149, 6716
150, 5122
151, 8315
152, 6258
153, 5195
154, 5535
155, 5463
156, 5770
157, 5458
158, 5930
159, 5287
160, 5721
161, 6213
162, 5730
163, 6155
164, 5741
165, 5974
166, 6024
167, 5836
168, 7052
169, 6771
170, 6754
171, 6011
172, 5886
173, 6782
174, 6499
175, 6258
176, 6728
177, 6314
178, 6362
179, 5850
180, 5782
181, 6101
182, 5793
183, 5781
184, 6537
185, 7570
186, 6855
187, 6498
188, 6454
189, 7234
190, 6864
191, 7279
192, 6604
193, 7308
194, 6872
195, 6733
196, 8904
197, 18614
198, 7820
199, 11402
200, 9558
201, 6137
202, 8934
203, 6388
204, 10540
205, 6777
206, 10476
207, 6151
208, 8690
209, 6524
210, 8801
211, 6927
212, 9143
213, 6936
214, 8163
215, 6995
216, 7980
217, 7425
218, 6630
219, 9796
220, 6851
221, 9314
222, 8178
223, 8132
224, 6616
225, 9358
226, 6699
227, 9537
228, 7419
229, 9397
230, 7574
231, 9451
232, 7208
233, 9244
234, 7034
235, 9048
236, 8094
237, 9164
238, 7226
239, 10143
240, 9521
241, 8296
242, 9330
243, 7703
244, 9195
245, 8042
246, 9757
247, 7818
248, 9862
249, 8508
250, 10067
251, 7998
252, 9794
253, 9371
254, 8098
255, 9285
256, 8337
257, 9613
258, 8782
259, 9994
260, 8628
261, 10916
262, 36455
263, 15275
264, 10303
265, 8803
266, 9670
267, 10776
268, 12811
269, 11382
270, 10783
271, 10573
272, 10810
273, 10101
274, 10542
275, 10043
276, 9809
277, 10596
278, 10850
279, 11312
280, 10543
281, 11670
282, 12541
283, 11189
284, 10153
285, 11132
286, 11143
287, 11250
288, 10081
289, 10716
290, 10316
291, 13116
292, 11476
293, 12095
294, 11327
295, 11642
296, 11239
297, 11725
298, 12201
299, 11474
300, 12484
301, 11862
302, 12266
303, 12165
304, 13021
305, 13500
306, 15499
307, 12079
308, 12122
309, 11064
310, 12064
311, 10662
312, 10882
313, 11027
314, 11040
315, 11126
316, 10941
317, 11765
318, 11451
319, 10331
320, 10180
321, 10904
322, 10325
323, 12395
324, 12091
325, 11131
326, 11777
327, 11065
328, 11823
329, 11755
330, 11445
331, 12412
332, 11848
333, 11759
334, 12494
335, 11796
336, 12391
337, 11942
338, 12398
339, 11521
340, 15013
341, 19787
342, 14684
343, 18694
344, 13293
345, 12087
346, 15710
347, 15718
348, 14918
349, 15293
350, 15867
351, 16637
352, 17425
353, 15519
354, 13968
355, 14692
356, 14074
357, 14326
358, 15257
359, 15428
360, 15251
361, 15203
362, 15536
363, 16616
364, 17528
365, 14767
366, 13449
367, 16974
368, 16810
369, 17595
370, 15809
371, 16610
372, 17289
373, 16892
374, 17463
375, 17604
376, 34964
377, 16990
378, 21686
379, 19989
380, 23924
381, 19916
382, 19064
383, 19906
384, 18620
385, 18362
386, 18364
387, 17865
388, 18519
389, 18025
390, 18309
391, 18199
392, 18446
393, 17666
394, 18806
395, 20236
396, 19561
397, 18474
398, 18180
399, 17956
400, 16482
401, 17091
402, 16693
403, 16809
404, 16662
405, 18685
406, 19983
407, 17006
408, 17207
409, 36603
410, 14517
411, 15119
412, 15595
413, 15337
414, 15567
415, 15708
416, 15551
417, 15906
418, 15237
419, 15987
420, 14457
421, 15396
422, 18486
423, 18454
424, 18539
425, 16901
426, 17892
427, 17656
428, 19490
429, 18866
430, 18547
431, 18986
432, 19017
433, 19428
434, 18701
435, 19721
436, 19019
437, 18506
438, 19376
439, 21229
440, 20920
441, 19617
442, 20225
443, 19693
444, 19020
445, 19983
446, 19550
447, 20440
448, 20004
449, 20544
450, 19952
451, 20120
452, 19825
453, 20081
454, 18503
455, 18256
456, 18512
457, 18505
458, 19393
459, 18270
460, 18737
461, 19029
462, 19205
463, 18323
464, 18728
465, 18848
466, 19274
467, 18064
468, 19197
469, 19405
470, 19272
471, 18520
472, 18164
473, 17423
474, 20782
475, 20063
476, 20274
477, 19648
478, 19366
479, 20255
480, 20605
481, 21448
482, 20744
483, 19558
484, 20088
485, 21295
486, 24070
487, 33118
488, 24970
489, 24566
490, 22546
491, 24432
492, 23226
493, 22132
494, 24682
495, 23149
496, 26293
497, 26288
498, 28022
499, 28780
500, 25785
501, 23268
502, 23791
503, 23515
504, 24375
505, 23185
506, 25633
507, 43134
508, 27578
509, 22200
510, 26917
511, 27501
512, 27152
513, 26477
514, 28199
515, 26268
516, 23401
517, 21814
518, 21628
519, 21587
520, 21745
521, 21669
522, 20657
523, 21158
524, 21763
525, 23243
526, 24239
527, 21425
528, 22489
529, 22950
530, 22477
531, 23115
532, 22178
533, 22099
534, 23462
535, 22933
536, 22924
537, 23550
538, 24109
539, 25166
540, 31539
541, 25787
542, 29582
543, 26853
544, 25837
545, 26618
546, 25199
547, 29616
548, 31179
549, 28684
550, 27644
551, 29699
552, 29787
553, 29232
554, 26855
555, 30121
556, 30690
557, 30100
558, 50027
559, 26072
560, 25089
561, 24849
562, 26948
563, 25921
564, 26430
565, 25471
566, 25476
567, 26068
568, 26383
569, 26329
570, 26620
571, 26062
572, 25922
573, 27613
574, 27052
575, 27190
576, 27299
577, 26989
578, 27513
579, 27785
580, 28357
581, 28246
582, 25342
583, 26452
584, 27259
585, 25867
586, 26349
587, 26363
588, 27118
589, 27149
590, 25305
591, 24374
592, 25663
593, 27718
594, 25613
595, 27560
596, 26113
597, 26537
598, 26110
599, 26670
600, 26483
601, 28461
602, 27661
603, 26112
604, 27725
605, 26875
606, 27685
607, 27080
608, 27598
609, 27161
610, 27286
611, 28088
612, 27393
613, 26668
614, 28138
615, 28081
616, 28106
617, 26382
618, 27882
619, 28280
620, 29408
621, 27478
622, 27130
623, 27476
624, 27395
625, 27682
626, 27479
627, 27689
628, 28588
629, 29806
630, 29602
631, 31930
632, 69589
633, 31899
634, 42176
635, 29907
636, 30643
637, 29849
638, 30223
639, 29425
640, 30509
641, 31525
642, 29826
643, 31436
644, 32078
645, 31699
646, 32016
647, 30803
648, 60756
649, 31572
650, 32261
651, 32473
652, 43829
653, 29990
654, 30241
655, 27822
656, 28153
657, 28841
658, 30314
659, 61557
660, 30692
661, 43624
662, 29828
663, 30058
664, 31605
665, 32908
666, 29027
667, 29426
668, 31204
669, 29770
670, 30548
671, 30180
672, 31156
673, 31452
674, 31794
675, 32267
676, 31879
677, 31098
678, 41539
679, 44539
680, 35416
681, 39406
682, 36386
683, 40889
684, 40635
685, 41396
686, 44063
687, 36714
688, 38044
689, 39939
690, 41505
691, 40732
692, 62035
693, 45760
694, 34816
695, 30415
696, 32910
697, 31438
698, 33619
699, 40839
700, 34249
701, 33507
702, 33218
703, 33159
704, 36519
705, 42348
706, 39065
707, 37800
708, 33309
709, 33116
710, 33488
711, 33294
712, 36184
713, 62628
714, 46152
715, 41885
716, 41425
717, 41795
718, 40686
719, 43689
720, 50913
721, 45562
722, 59162
723, 52806
724, 160428
725, 70713
726, 89866
727, 38414
728, 38938
729, 40372
730, 38339
731, 40027
732, 43498
733, 43323
734, 56190
735, 124797
736, 39449
737, 51432
738, 36458
739, 39209
740, 50010
741, 209876
742, 147691
743, 96363
744, 47855
745, 41315
746, 37969
747, 43070
748, 38425
749, 47564
750, 42191
751, 38490
752, 40039
753, 42345
754, 36967
755, 37344
756, 37420
757, 35655
758, 37825
759, 47938
760, 45062
761, 39063
762, 41647
763, 49264
764, 54783
765, 50841
766, 51846
767, 42422
768, 47263
769, 45056
770, 43018
771, 47154
772, 48947
773, 51294
774, 47518
775, 41323
776, 41384
777, 41572
778, 41652
779, 48872
780, 51957
781, 51486
782, 46495
783, 47945
784, 43004
785, 42728
786, 45824
787, 53800
788, 44644
789, 43330
790, 45152
791, 67882
792, 39858
793, 40238
794, 37378
795, 40489
796, 39591
797, 40212
798, 39106
799, 38887
800, 41573
801, 41473
802, 39334
803, 42248
804, 58983
805, 44955
806, 57024
807, 55539
808, 55405
809, 42045
810, 45590
811, 45074
812, 46761
813, 56862
814, 60340
815, 58139
816, 58612
817, 58634
818, 49169
819, 48910
820, 46120
821, 45345
822, 48796
823, 40744
824, 49791
825, 58315
826, 52699
827, 62533
828, 52786
829, 57095
830, 58015
831, 53403
832, 52945
833, 45468
834, 46032
835, 46234
836, 44200
837, 48218
838, 42434
839, 43147
840, 40326
841, 42236
842, 128732
843, 60487
844, 54980
845, 68931
846, 51924
847, 59051
848, 48726
849, 46461
850, 46390
851, 72111
852, 42787
853, 40823
854, 54673
855, 46136
856, 41294
857, 41388
858, 44983
859, 73933
860, 58233
861, 41514
862, 43588
863, 43118
864, 44085
865, 51197
866, 55318
867, 47389
868, 48525
869, 49449
870, 51309
871, 72128
872, 49158
873, 50565
874, 47275
875, 49310
876, 48298
877, 42928
878, 49099
879, 47931
880, 47049
881, 56788
882, 56529
883, 52655
884, 51404
885, 56306
886, 52097
887, 57736
888, 57813
889, 56402
890, 58234
891, 54704
892, 55158
893, 53788
894, 53984
895, 47498
896, 49364
897, 47054
898, 48339
899, 49974
900, 68524
901, 51026
902, 49283
903, 48775
904, 51529
905, 49400
906, 48956
907, 49982
908, 52001
909, 50787
910, 51336
911, 48695
912, 48288
913, 45736
914, 48440
915, 45786
916, 47451
917, 48716
918, 48972
919, 48929
920, 56069
921, 57844
922, 89421
923, 54575
924, 55835
925, 56352
926, 56935
927, 55648
928, 56620
929, 57026
930, 83453
931, 87126
932, 83482
933, 83445
934, 82914
935, 87308
936, 100168
937, 90411
938, 57035
939, 69635
940, 57437
941, 56730
942, 57273
943, 58551
944, 87612
945, 52517
946, 68546
947, 51650
948, 52750
949, 52301
950, 55433
951, 57199
952, 56548
953, 58554
954, 59790
955, 59941
956, 62667
957, 86387
958, 74264
959, 70862
960, 71725
961, 72600
962, 63851
963, 70472
964, 147735
965, 73605
966, 88699
967, 73911
968, 75073
969, 75740
970, 102982
971, 75865
972, 61692
973, 64503
