N, par for_each, sec for_each, partial_sum, inclusive_scan, transform_reduce, inner_product
10000 , 6684, 8583, 1153, 2185, 98, 2019
20000 , 10685, 19102, 1289, 2444, 151, 3527
30000 , 11690, 27837, 2847, 5681, 244, 4143
40000 , 21796, 30074, 4119, 5047, 207, 5531
50000 , 22388, 39664, 6397, 7891, 368, 7431
60000 , 26128, 46965, 4407, 7552, 488, 9068
70000 , 34147, 67491, 6478, 11699, 625, 10749
80000 , 38173, 84320, 11873, 16592, 433, 14892
90000 , 54196, 134312, 9086, 16038, 590, 16215
100000 , 64396, 98543, 9277, 20401, 713, 19537
110000 , 86421, 91591, 9184, 16894, 544, 18792
120000 , 67418, 188413, 14202, 23637, 850, 19913
130000 , 75281, 127822, 10723, 19413, 851, 20544
140000 , 87717, 132914, 13823, 18820, 907, 23747
150000 , 68024, 118593, 13270, 23195, 970, 24260
160000 , 73395, 128017, 13422, 22939, 799, 27832
170000 , 107750, 151791, 18343, 33362, 2003, 31129
180000 , 110520, 194858, 19151, 46494, 1427, 36568
190000 , 135678, 201372, 19081, 32110, 1704, 36820
200000 , 192321, 284768, 23781, 45999, 1397, 41303
210000 , 138368, 228000, 23338, 36503, 1462, 43641
220000 , 98944, 183692, 15820, 45527, 1537, 39072
230000 , 115704, 175953, 17317, 33877, 1749, 30872
240000 , 120201, 203262, 26086, 46297, 1576, 46521
250000 , 149153, 218099, 18164, 37237, 1763, 42600
260000 , 126225, 273313, 24247, 48703, 1361, 41391
270000 , 194379, 289505, 23745, 51457, 2116, 51700
280000 , 201195, 227804, 20807, 42838, 1418, 44845
290000 , 136936, 234156, 19217, 41190, 1623, 59892
300000 , 164439, 274524, 29465, 47855, 1867, 58761
310000 , 140624, 251635, 29632, 47930, 2892, 62538
320000 , 218905, 254454, 22871, 46262, 1676, 50716
330000 , 165426, 263245, 25912, 52230, 2440, 52652
340000 , 151677, 266920, 28824, 56602, 1708, 59386
350000 , 181550, 285771, 28082, 54361, 2242, 60600
360000 , 162017, 281891, 24188, 55627, 1774, 50956
370000 , 183847, 311067, 30695, 56097, 2648, 52616
380000 , 162365, 304346, 27201, 64114, 2565, 58385
390000 , 210018, 316691, 29310, 54448, 1996, 66089
400000 , 171450, 325045, 37163, 74330, 2910, 68360
410000 , 173992, 443247, 29505, 64830, 2264, 64137
420000 , 183911, 344838, 31097, 63840, 3153, 61233
430000 , 203620, 490965, 41888, 72958, 2161, 71499
440000 , 196398, 358434, 28766, 57103, 2157, 60587
450000 , 184121, 320613, 31389, 59611, 2212, 60177
460000 , 199844, 329184, 31587, 63774, 3212, 59528
470000 , 182801, 348724, 32207, 63297, 2477, 63254
480000 , 191156, 343313, 33831, 63554, 2399, 66046
490000 , 207437, 351825, 32424, 64936, 2384, 72720
500000 , 198723, 409641, 34417, 72542, 2501, 83763
510000 , 213296, 353332, 33773, 69128, 3007, 72079
520000 , 214316, 429534, 53327, 98208, 3520, 74714
530000 , 219896, 419143, 45144, 116859, 3930, 167403
540000 , 231670, 506490, 34993, 83205, 3524, 68858
550000 , 216108, 448742, 37766, 81960, 2695, 72952
560000 , 256789, 421734, 36723, 74059, 3102, 75405
570000 , 233356, 448840, 39589, 75205, 3178, 77803
580000 , 242689, 425683, 38348, 81451, 2943, 81930
590000 , 264439, 462909, 40509, 74934, 3249, 77425
600000 , 235597, 438885, 41119, 77402, 3150, 90186
610000 , 266168, 452834, 47860, 82470, 3158, 81101
620000 , 264154, 444940, 40666, 80926, 3047, 85082
630000 , 253828, 502191, 48790, 108164, 3779, 89720
640000 , 247887, 475062, 42956, 117103, 3143, 92346
650000 , 254676, 483208, 42224, 95190, 3673, 84486
660000 , 260008, 481202, 45267, 87909, 3391, 89163
670000 , 281930, 482786, 45308, 90045, 3899, 89934
680000 , 283153, 556213, 43949, 89824, 3467, 95419
690000 , 272814, 488220, 46322, 90549, 4324, 91516
700000 , 292721, 522775, 46675, 92777, 4835, 94828
710000 , 350544, 586998, 48580, 90492, 3543, 94754
720000 , 299205, 604533, 53278, 109811, 3925, 126613
730000 , 292261, 628091, 67749, 160475, 5028, 121531
740000 , 330438, 634948, 94418, 136342, 4336, 108377
750000 , 378336, 642851, 55430, 106137, 5294, 106305
760000 , 310479, 709212, 91446, 202007, 6874, 146618
770000 , 366445, 689459, 78407, 151538, 5413, 123485
780000 , 345870, 881901, 132100, 117500, 4005, 106545
790000 , 318860, 631488, 51246, 97847, 3942, 105332
800000 , 451184, 681369, 53459, 106979, 4045, 110507
810000 , 382331, 623280, 75660, 122630, 5937, 114149
820000 , 336558, 700581, 72839, 168908, 5823, 179911
830000 , 379167, 669844, 55540, 117302, 4770, 119458
840000 , 332459, 707748, 73836, 140376, 6083, 125660
850000 , 372049, 649956, 64276, 108058, 5071, 117376
860000 , 356935, 643208, 78435, 142069, 5055, 133288
870000 , 440343, 787145, 102495, 182446, 6334, 124645
880000 , 418453, 851301, 63148, 118463, 4959, 126542
890000 , 366753, 678147, 67664, 118926, 4458, 127527
900000 , 371035, 676191, 65940, 165027, 6415, 145011
910000 , 407339, 654147, 59305, 115879, 4716, 128263
920000 , 381517, 764974, 63105, 141566, 5113, 141304
930000 , 369323, 683364, 63258, 137554, 4688, 132196
940000 , 397956, 765723, 63665, 127361, 4590, 125531
950000 , 405015, 713825, 68859, 127688, 4941, 127223
960000 , 386274, 698375, 68606, 132132, 5104, 135587
970000 , 406027, 776545, 63311, 125220, 4847, 137349
980000 , 376364, 726571, 72084, 121357, 5401, 131937
990000 , 428343, 792165, 79185, 138935, 5755, 139638
